,precision,recall,f1-score,support,accuracy
ham,0.96996996996997,0.9969135802469136,0.9832572298325722,972.0,0.9704035874439462
spam,0.9741379310344828,0.7902097902097902,0.8725868725868726,143.0,0.9704035874439462
accuracy,0.9704035874439462,0.9704035874439462,0.9704035874439462,0.9704035874439462,0.9704035874439462
macro avg,0.9720539505022263,0.8935616852283519,0.9279220512097224,1115.0,0.9704035874439462
weighted avg,0.970504515649096,0.9704035874439462,0.969063632445904,1115.0,0.9704035874439462
