,precision,recall,f1-score,support,accuracy
ham,0.97,0.9979423868312757,0.9837728194726166,972.0,0.9713004484304932
spam,0.9826086956521739,0.7902097902097902,0.875968992248062,143.0,0.9713004484304932
accuracy,0.9713004484304932,0.9713004484304932,0.9713004484304932,0.9713004484304932,0.9713004484304932
macro avg,0.9763043478260869,0.894076088520533,0.9298709058603394,1115.0,0.9713004484304932
weighted avg,0.9716170793527003,0.9713004484304932,0.9699468577747589,1115.0,0.9713004484304932
