,precision,recall,f1-score,support,accuracy
ham,0.9642857142857143,1.0,0.9818181818181818,972.0,0.967713004484305
spam,1.0,0.7482517482517482,0.856,143.0,0.967713004484305
accuracy,0.967713004484305,0.967713004484305,0.967713004484305,0.967713004484305,0.967713004484305
macro avg,0.9821428571428572,0.8741258741258742,0.9189090909090909,1115.0,0.967713004484305
weighted avg,0.9688661114670083,0.967713004484305,0.9656818589482267,1115.0,0.967713004484305
