,precision,recall,f1-score,support,accuracy
ham,0.9788306451612904,0.9989711934156379,0.9887983706720977,972.0,0.9802690582959641
spam,0.991869918699187,0.8531468531468531,0.9172932330827067,143.0,0.9802690582959641
accuracy,0.9802690582959641,0.9802690582959641,0.9802690582959641,0.9802690582959641,0.9802690582959641
macro avg,0.9853502819302387,0.9260590232812456,0.9530458018774022,1115.0,0.9802690582959641
weighted avg,0.9805029466105454,0.9802690582959641,0.9796277566135482,1115.0,0.9802690582959641
