,precision,recall,f1-score,support,accuracy
ham,0.9593657086223984,0.9958847736625515,0.9772841998990409,972.0,0.9596412556053812
spam,0.9622641509433962,0.7132867132867133,0.8192771084337349,143.0,0.9596412556053812
accuracy,0.9596412556053812,0.9596412556053812,0.9596412556053812,0.9596412556053812,0.9596412556053812
macro avg,0.9608149297828974,0.8545857434746325,0.8982806541663879,1115.0,0.9596412556053812
weighted avg,0.9597374370994413,0.9596412556053812,0.9570196132806206,1115.0,0.9596412556053812
